item_id,title,LOCATION,ROOM TYPE,NEAR FACILITIES,CITY,PARKING,REVIEWS
1,HUNZA VIEW HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
2,HOTEL HUNZA EMBASSY,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
3,DARBAR HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
4,HAIDER INN,ALIABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
5,HUNZA SERENA INN,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
6,MULBERY HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
7,TOURIST PARK HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
8,HILTOP HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
9,AL -BARKAT HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
10,BLUE MOON HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
11,WORLD ROOF HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
12,KARIM HOTEL,KARIM ABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
13,PAMIR GUEST HOUSE,ALIABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
14,EAGLE NEST HOTEL,DUIKAR HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
15,KKH HOTEL,ALIABAD HUNZA,"TRIPLE BED FAMILY,DELUX ROOM,HALL,SIDE ROOM,4 BEDED,SINGLE ROOMS","HOSPITAL,MARKET,PICNIC POINTS",HUNZA,AVAILABLE,"EXCELLENT STAYED HOTEL,GOOD LOCATION HOTEL, COMFORTABLE BED-QUIET-STAFF HELPFULL,OK PRICE LOOK HOTEL,NICE CLEAN HOTEL, NICE FOOD,WALKING DISTANCE FROM MAIN CITY,SAFE"
