item_id,PLACES,THINGS_TO_DO,LOCATION,CITY,TRIP,LAKES,GLACIERS,CULTURAL FOOD
1,BALTIT FORT,"POLO GROUND,HERITAGE",KARIMABAD HUNZA , HUNZA,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
2,ULTAR GLACIER,TRACKING,KARIMABAD HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
3,HUNZA PEAK,"TRACKING,LANDSCAPE",SHISKAT GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
4,KHABASI RESIDENCE,"CULTURE, ARCHITECTTURE,INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",ALTIT HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
5,SHISPARE GLACIER,TRACKING,HASSANABAD HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
6,LADY FINGER,HIKING,KARIMABAD HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
7,ULTAR GLACIER,"TRACKING,LANDSCAPE",KARIMABAD HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
8,KARIMABAD STREETS,"FOODS,CULTURAL HERITAGE", HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
9,HUNZA PEAK,"TRACKING,LANDSCAPE",HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
10,SCARED ROCKS OF HUNZA,"HIKING ,PICNIC POINT",GANISH HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
11,LADY FINGER VIEW POINT ,"TRACKING ,STAY AND DINE",MURTAZABAD HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
12,KACHELI LAKE,"SWIMMING,BOATING,PICNIC POINT",MINAPIN HUNZA NAGAR,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
13,SANGEMARMAR SAR,"PICNIC POINT,STAY AND DINE",HASSANABAD HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
14,ULTAR GLACIER,"TRACKING,MOUNTAINS VIEW",MINAPIN HUNZA NAGAR,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
15,RAKAPOSHI VIEW POINT,"LANDSCAPE ,RAKAPOSHI PEAK",GULMET NAGAR HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
16,"LADY FINGER,ULTAR GLACIER","TRACKING,LANDSCAPE,NATURE",HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
17,BUALTAR GLACIER,"TRACKING,MOUNTAINS VIEW",HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
18,BATURA SAR,"HIKING, MOUNTAIN VIEW",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
19,HACHINDAR CHHISH,"TRACKING,LANDSCAPE,MOUNTAINS VIEW",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
20,BALTIT FORT,"INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
21,RAKAPOSHI VIEW POINT,"LANDSCAPE ,RAKAPOSHI PEAK",HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
22,HARAI,"TRACKING,LANDSCAPE",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
23,LADY FINGER,"LANDSCAPE,MOUNTAINS VIEW",HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
24,DUIKAR ,"CULTURE, SUNRISE AND SUNSET VIEW",DUIKAR HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
25,EAGLE NEST," ARCHITECTTURE,INFRASTRUCTURE ,LANDSCAPE ",DUIKAR HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
26,KARIMABAD POLO GROUND,"INFRASTRUCTURE ,LANDSCAPE SUNRISE AND SUNSET VIEW",KARIMABAD HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
27,KARIMABAD POLO GROUND,"INFRASTRUCTURE ,LANDSCAPE SUNRISE AND SUNSET VIEW",KARIMABAD HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
28,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
29,ONDRA POYGAH,"CULTURE,PICNIC POINT",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
30,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
31,DEATH BRIDGE,"CULTURE, ARCHITECTTURE,INFRASTRUCTURE ",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
32,HUSSANI SUSPENSION BRIDE ,"HISTORICAL THINGS, EVENTS, SHOPPING,PICNIC POINT",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
33,BORITH LAKE,"BOATING ,PICNIC POINT",GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
34,ONDRA POYGAH,"CULTURE,PICNIC POINT",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
35,PASSU CONES,"LANDSCAPE , EVENTS, SHOPPING",PASSU GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
36,PASSU GLACIER,"STAY AND DINE,BONFIRE,CAMPING,PICNIC POINT",PASSU GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
37,KHYBER BRIGDE,"CAMPING,PICNIC POINT,TRACKING,HIKING,SEE NATURE",KHYBER GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
38,MINI SWITZERLAND,"CULTURE,INFRASTRUCTURE ,LANDSCAPE ",GHALAPN GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
39,BATURA LAKE,"SWIMMING,BOATING",GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
40,DUIKAR ,"CULTURE, SUNRISE AND SUNSET VIEW",DUIKAR HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
41,BALTIT FORT,"POLO GROUND,HERITAGE",KARIMABAD HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
42,ULTAR GLACIER,TRACKING,KARIMABAD HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
43,LADY FINGER VIEW POINT ,"TRACKING ,STAY AND DINE",MURTAZABAD HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
